"","Name","Day","Media","Type","Date","UniqueId","Path","Class","Relative","MinorAx","MidAx","MajorAx","CellSurfaceArea","CellVolume","MitoVolSur","MitoLength","MitoVolLen","MitoToCellVolRatio","MitoToCellSurRatio","MitoQuasiDensity","Nodes","Edges","avgDegree","avgDegreeCor","Loops","MultipleEdges","avgCC","sdCC","DiameterTop","DiameterGeo","avgEdgeLength","stdEdgeLength","maxEdgeLength","FracLongEdges","Clusters","Phi","Beta","Pk1","Pk3","avgBETgeo","sdBETgeo","maxBETgeo","avgBETtop","sdBETtop","maxBETtop","avgGeoSTopSRatio","sdGeoSTopSRatio","avgEdgeLengthProjected","avgEdgeLengthGeodesic","avgEdgeLengthSpherical","avgEdgeTension","netTension","avgLongEdgesTension","LongestEdgeTension","logNodes","logNormLength","Meshedness","Redundancy"
"4279","020714_1_103_13","1","Glucose","WT","24",14,"/Volumes/TOSH/UCI/MyData/NewScopeUnbudded/Analysis//DATA_24H_DAY1/cells","Single",NA,1.640979,2.273172,2.452123,56.375291,38.314747,4.13513,51.86139,3.66587,0.107925285269403,0.0733500426631944,0.91993121596481,26,37,2.84615384615385,2.84615384615385,0,2,0.046875,0.046875,7,10.32172,1.40165891891892,1.0590996409655,4.53718,0.216216216216216,1,1,1,0.0769230769230769,0.923076923076923,0.116410256410256,0.0842373529019735,0.303333333333333,0.10525641025641,0.057220151153293,0.200333333333333,1.25540038842491,0.499449348259759,1.58763702702703,1.34285108108108,1.28574,0.933644923199549,0.845817436996713,0.807278025932809,0.339521767334583,3.25809653802148,-0.412846879135001,0.25531914893617,0.324324324324324
"4280","020714_1_103_8","1","Glucose","WT","24",9,"/Volumes/TOSH/UCI/MyData/NewScopeUnbudded/Analysis//DATA_24H_DAY1/cells","Single",NA,2.247972,2.724249,2.849965,85.293154,73.10813,6.52539,75.40687,5.3302,0.089256694159733,0.0765054367669415,0.884090533221459,48,48,2,2,0,0,0,0,17,22.8768,1.57097729166667,1.17985706058293,5.33085,0.1875,3,0.916666666666667,0.99096767126514,0.5,0.5,0.0984427998766574,0.121748952257704,0.367252543940796,0.0959374036386062,0.114591395057776,0.382053654024052,1.49683761227156,0.527803607207272,1.72948770833333,1.58737166666667,1.53539104166667,0.941207715258549,0.917827665971896,0.928605158062035,0.942028577373716,3.87120101090789,-0.505837068727881,0.010989010989011,0.0625
"42811","020714_1_103_9","1","Glucose","WT","24",10,"/Volumes/TOSH/UCI/MyData/NewScopeUnbudded/Analysis//DATA_24H_DAY1/cells","Single",NA,1.671513,1.749809,2.702471,51.593939,33.109298,4.09499,50.24763,3.5518,0.123680967201419,0.0793695941688034,0.973905675238326,32,34,2.125,2.125,0,1,0.18,0.18,10,20.04431,1.47787264705882,1.41885178320745,6.09018,0.294117647058824,3,0.875,0.987995065243821,0.4375,0.5625,0.107997311827957,0.136952802329502,0.449462365591398,0.0932795698924731,0.105613178217034,0.33405017921147,1.39781166433793,0.692191117096604,1.65569735294118,1.22838558823529,1.16059676470588,0.904925086187367,0.741914327550982,0.676557055971934,0.438029571147785,3.46573590279973,-0.315586325600619,0.0508474576271186,0.147058823529412
"4282","020714_1_107_14","1","Glucose","WT","24",15,"/Volumes/TOSH/UCI/MyData/NewScopeUnbudded/Analysis//DATA_24H_DAY1/cells","Single",NA,1.677313,1.873473,2.65999,53.271511,35.013069,3.92564,45.36742,3.20683,0.112119277518917,0.0736911705019968,0.851626303597809,28,33,2.35714285714286,2.35714285714286,0,2,0.0612244897959184,0.0612244897959184,8,12.52052,1.3747703030303,0.931970689853914,4.33651,0.151515151515152,3,0.857142857142857,0.970985125449056,0.321428571428571,0.678571428571429,0.0815018315018315,0.071909089792351,0.233618233618234,0.0761090761090761,0.0733227551206475,0.240672907339574,1.4179590181569,0.510362602604649,1.52612424242424,1.38454515151515,1.31010121212121,0.937792866944885,0.90722964292593,0.877644316602907,0.891912523169851,3.3322045101752,-0.403902054423209,0.117647058823529,0.242424242424242
"4283","020714_1_107_15","1","Glucose","WT","24",16,"/Volumes/TOSH/UCI/MyData/NewScopeUnbudded/Analysis//DATA_24H_DAY1/cells","Single",NA,2.00647,2.299249,2.728797,68.858408,52.732513,5.66487,66.59297,4.70718,0.107426513126731,0.0822683847120021,0.96710005261812,40,47,2.35,2.26315789473684,0,0,0.178571428571429,0.178571428571429,10,17.54313,1.41687106382979,0.899598646352032,4.64626,0.170212765957447,2,0.95,0.981396376252498,0.35,0.6,0.102496626180837,0.0993667091232651,0.315789473684211,0.0915654520917679,0.0956069340711433,0.299820062977958,1.40566261562049,0.472401179232156,1.57376106382979,1.4192570212766,1.3462985106383,0.94102973678712,0.901824968157999,0.830382589031121,0.700885295467857,3.68887945411394,-0.50206308143935,0.106666666666667,0.191489361702128
"4284","020714_1_108_16","1","Glucose","WT","24",17,"/Volumes/TOSH/UCI/MyData/NewScopeUnbudded/Analysis//DATA_24H_DAY1/cells","Single",NA,2.083142,2.760417,2.90673,83.631563,70.01429,6.04056,71.76409,5.0727,0.0862761016358232,0.0722282327785743,0.858098156075356,57,62,2.17543859649123,2.14285714285714,0,2,0.032258064516129,0.032258064516129,12,12.96861,1.157485,0.847750269123626,4.79809,0.0645161290322581,6,0.824561403508772,0.932538943234407,0.421052631578947,0.56140350877193,0.0588972431077694,0.0629720643030783,0.180519480519481,0.0528252449305081,0.0515115089968315,0.164577922077922,1.19074861294177,0.428864105239678,1.27844387096774,1.18312403225806,1.13861709677419,0.965583367428272,0.925440732382312,0.867305215453993,0.691870172037054,4.04305126783455,-0.801448826926499,0.055045871559633,0.17741935483871
"4285","020714_1_110_17","1","Glucose","WT","24",18,"/Volumes/TOSH/UCI/MyData/NewScopeUnbudded/Analysis//DATA_24H_DAY1/cells","Single",NA,1.853702,2.210227,2.689815,63.378422,46.162325,4.96366,67.31534,4.75824,0.107526213205249,0.0783178224285862,1.06211763997532,45,59,2.62222222222222,2.52380952380952,0,2,0.0865384615384615,0.0865384615384615,10,10.24706,1.14093779661017,0.797394153510018,3.5788,0.101694915254237,3,0.911111111111111,0.991185068839445,0.222222222222222,0.711111111111111,0.0851538642236317,0.0823882037786753,0.301268498942918,0.0694855532064834,0.0548759963909842,0.181677237491191,1.06470616402116,0.397755857569005,1.27428271186441,1.1905006779661,1.12485762711864,0.960695644250132,0.934251612206428,0.90641711349617,0.778886611284928,3.80666248977032,-0.677199051931422,0.176470588235294,0.288135593220339
"4286","020714_1_110_18","1","Glucose","WT","24",19,"/Volumes/TOSH/UCI/MyData/NewScopeUnbudded/Analysis//DATA_24H_DAY1/cells","Single",NA,1.998262,2.716612,3.298111,89.025495,74.995276,4.83383,51.56429,3.64486,0.0644551264802332,0.05429714263313,0.579208124593972,22,24,2.18181818181818,2.18181818181818,0,1,0.0857142857142857,0.0857142857142857,7,19.36064,2.14851125,1.26300203196612,4.51601,0.208333333333333,2,0.909090909090909,0.991956639742985,0.409090909090909,0.590909090909091,0.103030303030303,0.104808744986711,0.304761904761905,0.0995670995670996,0.0998940569689284,0.301190476190476,2.14321996808776,0.709961206734309,2.38436833333333,2.12731333333333,2.00555541666667,0.925436271767787,0.892191572750575,0.856230593871838,0.897465082957269,3.09104245335832,-0.214174110776977,0.0769230769230769,0.166666666666667
"4287","020714_1_110_19","1","Glucose","WT","24",20,"/Volumes/TOSH/UCI/MyData/NewScopeUnbudded/Analysis//DATA_24H_DAY1/cells","Single",NA,2.005891,2.559988,2.659213,72.728365,57.198788,5.22646,67.50408,4.77158,0.0913736144199419,0.0718627457113879,0.928167160089464,46,52,2.26086956521739,2.18181818181818,0,1,0.0697674418604651,0.0697674418604651,12,20.02146,1.29815461538462,1.0371739369234,5.97373,0.115384615384615,5,0.826086956521739,0.923275110645229,0.391304347826087,0.565217391304348,0.0628238910847606,0.0643704191777118,0.22020202020202,0.059508124725516,0.0625868123045599,0.19993265993266,1.29259574069652,0.625362313677706,1.42242846153846,1.22369096153846,1.19423730769231,0.925618860113809,0.860282955963177,0.752422490151043,0.299022453386584,3.8286413964891,-0.616909883910885,0.0804597701149425,0.211538461538462
"4288","020714_1_111_20","1","Glucose","WT","24",21,"/Volumes/TOSH/UCI/MyData/NewScopeUnbudded/Analysis//DATA_24H_DAY1/cells","Single",NA,1.804828,2.124139,2.955883,65.452225,47.467294,4.69522,66.48764,4.69973,0.0989148443979132,0.0717350708856727,1.01581940109752,33,51,3.09090909090909,2.76,0,4,0.0625,0.0625,9,10.29883,1.30367901960784,1.05805812498984,5.34487,0.137254901960784,1,1,1,0.0909090909090909,0.666666666666667,0.104105571847507,0.0664096082462849,0.229838709677419,0.0928641251221896,0.0602355843461822,0.200440755481078,1.29146830607413,0.502808339366229,1.43874352941176,1.28093176470588,1.20952333333333,0.911072969492275,0.890312789263835,0.863344462350535,0.744239876361162,3.49650756146648,-0.559957837515622,0.311475409836066,0.372549019607843
